SN,MID_WID,SAP_New_Code,Nodal
1819,1184156,9200002292,9200002292
1820,1184158,9200002293,9200002293
1821,1184308,9200002294,9200002294
1822,1184190,9200002295,9200002295
1823,1184322,9200002296,9200002296
1824,1184310,9200002297,9200002297
1825,1179577,9200002298,9200002298
1826,1180925,9200002299,9200002299
1827,1182177,9200002300,9200002300
1828,1183918,9200002301,9200002301
1829,1184221,9200002302,9200002302
1830,1184371,9200002303,9200002303
1831,1184378,9200002304,9200002304
1832,1184324,9200002305,9200002305
1833,1184343,9200002306,9200002306
1834,1184407,9200002307,9200002307
1835,1183419,9200002308,9200002308
1836,1184502,9200002309,9200002309
1837,1184177,9200002310,9200002310
1838,1184188,9200002311,9200002311
1839,1184428,9200002312,9200002312
1840,1184467,9200002313,9200002313
1841,1178044,9200002314,9200002314
1842,1184002,9200002315,9200002315
1843,1184376,9200002316,9200002316
1844,1184294,9200002317,9200002317
1845,1184309,9200002318,9200002318
1846,1184315,9200002319,9200002319
1847,1184345,9200002320,9200002320
1848,1184352,9200002321,9200002321
1849,1184382,9200002322,9200002322
1850,1184368,9200002323,9200002323
1851,1182311,9200002324,9200002324
1852,1183443,9200002325,9200002325
1853,1184256,9200002326,9200002326
1854,1184379,9200002327,9200002327
1855,1184618,9200002328,9200002328
1856,1183423,9200002329,9200002329
1857,1184381,9200002330,9200002330
1858,1184553,9200002331,9200002331
1859,1184459,9200002333,9200002333
1860,1184504,9200002334,9200002334
1861,1183293,9200002335,9200002335
1862,1184255,9200002336,9200002336
1863,1184344,9200002337,9200002337
1864,1184369,9200002338,9200002338
1865,1184374,9200002339,9200002339
1866,1176188,9200002343,9200002343
1867,1183004,9200002345,9200002345
1868,1184443,9200002346,9200002346
1869,1184560,9200002347,9200002347
1870,1184242,9200002348,9200002348
1871,1184377,9200002349,9200002349
1872,1184461,9200002350,9200002350
1873,1184528,9200002351,PFC
1874,1180165,9200002352,9200002352
1875,1184434,9200002353,9200002353
1876,1163775,9200002354,9200002354
1877,1184529,9200002355,9200002355
