Merchant_ID,TOTAL,PERIOD,Date
461785,-300,180326MARRE,19-Mar-26
1178398,-297.5,180326MARRE,19-Mar-26
1258121,-296.41,180326MARRE,19-Mar-26
213992,-290.78,180326MARRE,19-Mar-26
1216854,-288.75,180326MARRE,19-Mar-26
1288653,-288,180326MARRE,19-Mar-26
41353,-287.33,180326MARRE,19-Mar-26
1235032,-283.59,180326MARRE,19-Mar-26
103868,-282.28,180326MARRE,19-Mar-26
1215429,-281.36,180326MARRE,19-Mar-26
1234589,-279.48,180326MARRE,19-Mar-26
1181484,-272.71,180326MARRE,19-Mar-26
1237527,-272.42,180326MARRE,19-Mar-26
954427,-264.73,180326MARRE,19-Mar-26
1271676,-258.58,180326MARRE,19-Mar-26
1180623,-258.43,180326MARRE,19-Mar-26
1234249,-257.77,180326MARRE,19-Mar-26
204460,-257.5,180326MARRE,19-Mar-26
265534,-257.5,180326MARRE,19-Mar-26
281207,-257.5,180326MARRE,19-Mar-26
318206,-257.5,180326MARRE,19-Mar-26
403401,-257.5,180326MARRE,19-Mar-26
453607,-257.5,180326MARRE,19-Mar-26
498811,-257.5,180326MARRE,19-Mar-26
505631,-257.5,180326MARRE,19-Mar-26
552276,-257.5,180326MARRE,19-Mar-26
555102,-257.5,180326MARRE,19-Mar-26
560982,-257.5,180326MARRE,19-Mar-26
1184744,-256.89,180326MARRE,19-Mar-26
1216823,-253.8,180326MARRE,19-Mar-26
1182644,-253.12,180326MARRE,19-Mar-26
271,-251.42,180326MARRE,19-Mar-26
281185,-250,180326MARRE,19-Mar-26
379366,-250,180326MARRE,19-Mar-26
38191,-250,180326MARRE,19-Mar-26
576312,-250,180326MARRE,19-Mar-26
1178164,-246.39,180326MARRE,19-Mar-26
1191252,-246.25,180326MARRE,19-Mar-26
1186463,-245.61,180326MARRE,19-Mar-26
47884,-240.72,180326MARRE,19-Mar-26
64545,-239.19,180326MARRE,19-Mar-26
1182639,-236.22,180326MARRE,19-Mar-26
1187444,-235.25,180326MARRE,19-Mar-26
1280051,-235.25,180326MARRE,19-Mar-26
1189642,-231.49,180326MARRE,19-Mar-26
1213383,-228.85,180326MARRE,19-Mar-26
155844,-225.56,180326MARRE,19-Mar-26
1178180,-224.91,180326MARRE,19-Mar-26
1181484,-224.18,180326MARRE,19-Mar-26
1181484,-221.28,180326MARRE,19-Mar-26
1217173,-218.97,180326MARRE,19-Mar-26
1184771,-218.2,180326MARRE,19-Mar-26
1216040,-217.58,180326MARRE,19-Mar-26
1183001,-216,180326MARRE,19-Mar-26
1263534,-215.49,180326MARRE,19-Mar-26
1189809,-214.38,180326MARRE,19-Mar-26
1228563,-213.51,180326MARRE,19-Mar-26
67792,-211.78,180326MARRE,19-Mar-26
1185189,-204.19,180326MARRE,19-Mar-26
81896,-202.96,180326MARRE,19-Mar-26
941949,-200.24,180326MARRE,19-Mar-26
332331,-200,180326MARRE,19-Mar-26
1181484,-197.98,180326MARRE,19-Mar-26
512207,-197.18,180326MARRE,19-Mar-26
32495,-194.05554,180326MARRE,19-Mar-26
333687,-192.07,180326MARRE,19-Mar-26
1191252,-191.9,180326MARRE,19-Mar-26
1181484,-189.24,180326MARRE,19-Mar-26
25466,-188.68,180326MARRE,19-Mar-26
1194436,-188.53,180326MARRE,19-Mar-26
1215411,-188.39,180326MARRE,19-Mar-26
1175017,-182.58,180326MARRE,19-Mar-26
161959,-180.54,180326MARRE,19-Mar-26
1217221,-178.79,180326MARRE,19-Mar-26
1181484,-176.63,180326MARRE,19-Mar-26
1183022,-175.97,180326MARRE,19-Mar-26
1181484,-172.75,180326MARRE,19-Mar-26
1181484,-172.75,180326MARRE,19-Mar-26
1181484,-172.75,180326MARRE,19-Mar-26
1193498,-172.63,180326MARRE,19-Mar-26
1182977,-170,180326MARRE,19-Mar-26
1216783,-169.37,180326MARRE,19-Mar-26
26298,-169.19,180326MARRE,19-Mar-26
1181484,-168.87,180326MARRE,19-Mar-26
1225454,-168.44,180326MARRE,19-Mar-26
1172718,-165.2,180326MARRE,19-Mar-26
